Artorias the Abysswalker;5001;Level_S
Solaire of Astora;5002;Level_SSS
Ornstein the Dragonslayer;5003;Level_S
Smough the Executioner;5004;Level_A
Gwyn, Lord of Cinder;5005;Level_SS
Sif the Great Grey Wolf;5006;Level_A
Gwyndolin the Dark Sun;5007;Level_S
Priscilla the Crossbreed;5008;Level_S
Gravelord Nito;5011;Level_S
Quelaag the Witch of Chaos;5013;Level_A
Laurentius of the Great Swamp;5014;Level_B
Beatrice the Witch;5015;Level_A
Andre of Astora;5016;Level_C
The Four Kings;5017;Level_S
Manus, Father of the Abyss;5018;Level_SS
Siegmeyer of Catarina;5020;Level_B
Lautrec of Carim;5021;Level_A
Seath the Scaleless;5022;Level_S
